INFO backend.py:963:  Mock Version: 1.1.26
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/tmp
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/tmp/ccache
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/var/tmp
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/etc/yum.repos.d
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/etc/yum
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/proc
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/sys
DEBUG backend.py:496:  touch required files
DEBUG util.py:69:  touching file: /var/lib/mock/fedora-rawhide-x86_64/root/etc/mtab
DEBUG util.py:69:  touching file: /var/lib/mock/fedora-rawhide-x86_64/root/etc/fstab
DEBUG util.py:69:  touching file: /var/lib/mock/fedora-rawhide-x86_64/root/var/log/yum.log
DEBUG backend.py:324:  configure yum
DEBUG backend.py:339:  configure yum priorities
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/etc/yum/pluginconf.d
DEBUG backend.py:348:  configure yum rhnplugin
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/etc/yum/pluginconf.d
DEBUG util.py:84:  remove tree: /var/lib/mock/fedora-rawhide-x86_64/root/dev
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/dev/pts
DEBUG util.py:61:  creating dir: /var/lib/mock/fedora-rawhide-x86_64/root/dev/pts
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/dev/shm
DEBUG util.py:61:  creating dir: /var/lib/mock/fedora-rawhide-x86_64/root/dev/shm
DEBUG backend.py:442:  kver == 3.5.4-2.fc17.x86_64
DEBUG util.py:308:  Executing command: ['/bin/mount', '-n', '-t', 'proc', 'proc', '/var/lib/mock/fedora-rawhide-x86_64/root/proc'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:308:  Executing command: ['/bin/mount', '-n', '-t', 'sysfs', 'mock_chroot_sys', '/var/lib/mock/fedora-rawhide-x86_64/root/sys'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:308:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', 'mock_chroot_shmfs', '/var/lib/mock/fedora-rawhide-x86_64/root/dev/shm'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:308:  Executing command: ['/bin/mount', '-n', '-t', 'devpts', '-o', 'gid=5,mode=0620,ptmxmode=0666,newinstance', 'mock_chroot_devpts', '/var/lib/mock/fedora-rawhide-x86_64/root/dev/pts'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:308:  Executing command: ['/bin/mount', '-n', '--bind', '/var/cache/mock/fedora-rawhide-x86_64/yum_cache/', '/var/lib/mock/fedora-rawhide-x86_64/root/var/cache/yum'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:308:  Executing command: ['/bin/mount', '-n', '--bind', '/var/cache/mock/fedora-rawhide-x86_64/ccache/', '/var/lib/mock/fedora-rawhide-x86_64/root/tmp/ccache'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:308:  Executing command: ['/bin/mount', '-n', '--bind', '/tmp/mock-selinux-plugin.87QWvX', '/var/lib/mock/fedora-rawhide-x86_64/root/proc/filesystems'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:348:  Child return code was: 0
DEBUG backend.py:895:  ['/usr/bin/yum', '--installroot', '/var/lib/mock/fedora-rawhide-x86_64/root/', 'update']
DEBUG util.py:308:  Executing command: ['/usr/bin/yum', '--installroot', '/var/lib/mock/fedora-rawhide-x86_64/root/', 'update', '--setopt=tsflags=nocontexts'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'CCACHE_DIR': '/tmp/ccache', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'echo -n "<mock-chroot>"', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'CCACHE_UMASK': '002'}
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:84:  remove tree: /var/lib/mock/fedora-rawhide-x86_64/root/builddir
DEBUG util.py:308:  Executing command: ['/usr/sbin/userdel', '-r', '-f', 'mockbuild'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'CCACHE_DIR': '/tmp/ccache', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'echo -n "<mock-chroot>"', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'CCACHE_UMASK': '002'}
DEBUG util.py:258:  userdel: mockbuild home directory (/builddir) not found
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:308:  Executing command: ['/usr/sbin/groupdel', 'mockbuild'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'CCACHE_DIR': '/tmp/ccache', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'echo -n "<mock-chroot>"', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'CCACHE_UMASK': '002'}
DEBUG util.py:258:  groupdel: group 'mockbuild' does not exist
DEBUG util.py:348:  Child return code was: 6
DEBUG util.py:308:  Executing command: ['/usr/sbin/groupadd', '-g', '990', 'mockbuild'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'CCACHE_DIR': '/tmp/ccache', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'echo -n "<mock-chroot>"', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'CCACHE_UMASK': '002'}
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:308:  Executing command: /usr/sbin/useradd -o -m -u 1000 -g 990 -d /builddir -n mockbuild with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'CCACHE_DIR': '/tmp/ccache', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'echo -n "<mock-chroot>"', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'CCACHE_UMASK': '002'}
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/builddir/build/RPMS
DEBUG util.py:61:  creating dir: /var/lib/mock/fedora-rawhide-x86_64/root/builddir/build/RPMS
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/builddir/build/SRPMS
DEBUG util.py:61:  creating dir: /var/lib/mock/fedora-rawhide-x86_64/root/builddir/build/SRPMS
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/builddir/build/SOURCES
DEBUG util.py:61:  creating dir: /var/lib/mock/fedora-rawhide-x86_64/root/builddir/build/SOURCES
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/builddir/build/SPECS
DEBUG util.py:61:  creating dir: /var/lib/mock/fedora-rawhide-x86_64/root/builddir/build/SPECS
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/builddir/build/BUILD
DEBUG util.py:61:  creating dir: /var/lib/mock/fedora-rawhide-x86_64/root/builddir/build/BUILD
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/builddir/build/BUILDROOT
DEBUG util.py:61:  creating dir: /var/lib/mock/fedora-rawhide-x86_64/root/builddir/build/BUILDROOT
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/builddir/build/originals
DEBUG util.py:61:  creating dir: /var/lib/mock/fedora-rawhide-x86_64/root/builddir/build/originals
DEBUG util.py:308:  Executing command: ['/bin/umount', '-n', '/var/lib/mock/fedora-rawhide-x86_64/root/proc/filesystems'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:308:  Executing command: ['/bin/umount', '-n', '/var/lib/mock/fedora-rawhide-x86_64/root/tmp/ccache'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:308:  Executing command: ['/bin/umount', '-n', '/var/lib/mock/fedora-rawhide-x86_64/root/var/cache/yum'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:308:  Executing command: ['/bin/umount', '-n', '-l', '/var/lib/mock/fedora-rawhide-x86_64/root/dev/pts'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:308:  Executing command: ['/bin/umount', '-n', '-l', '/var/lib/mock/fedora-rawhide-x86_64/root/dev/shm'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:308:  Executing command: ['/bin/umount', '-n', '-l', '/var/lib/mock/fedora-rawhide-x86_64/root/sys'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:308:  Executing command: ['/bin/umount', '-n', '-l', '/var/lib/mock/fedora-rawhide-x86_64/root/proc'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:348:  Child return code was: 0
INFO backend.py:581:  Installed packages:
DEBUG util.py:308:  Executing command: ['rpm', '-q', '-a'] with env {'LANG': 'en_US.utf8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'CCACHE_DIR': '/tmp/ccache', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'echo -n "<mock-chroot>"', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'CCACHE_UMASK': '002'}
DEBUG util.py:258:  warning: Failed to read auxiliary vector, /proc not mounted?
DEBUG util.py:258:  warning: Failed to read auxiliary vector, /proc not mounted?
DEBUG util.py:258:  warning: Failed to read auxiliary vector, /proc not mounted?
DEBUG util.py:258:  warning: Failed to read auxiliary vector, /proc not mounted?
DEBUG util.py:258:  warning: Failed to read auxiliary vector, /proc not mounted?
DEBUG util.py:258:  warning: Failed to read auxiliary vector, /proc not mounted?
DEBUG util.py:258:  warning: Failed to read auxiliary vector, /proc not mounted?
DEBUG util.py:258:  warning: Failed to read auxiliary vector, /proc not mounted?
DEBUG util.py:258:  setup-2.8.59-1.fc19.noarch
DEBUG util.py:258:  basesystem-10.0-7.fc18.noarch
DEBUG util.py:258:  fedora-release-19-0.1.noarch
DEBUG util.py:258:  hwdata-0.240-1.fc19.noarch
DEBUG util.py:258:  perl-srpm-macros-1-5.fc18.noarch
DEBUG util.py:258:  tzdata-2012f-1.fc19.noarch
DEBUG util.py:258:  glibc-common-2.16.90-22.fc19.x86_64
DEBUG util.py:258:  ncurses-libs-5.9-5.20120204.fc18.x86_64
DEBUG util.py:258:  libstdc++-4.7.2-3.fc19.x86_64
DEBUG util.py:258:  libattr-2.4.46-8.fc19.x86_64
DEBUG util.py:258:  pcre-8.31-2.fc19.x86_64
DEBUG util.py:258:  zlib-1.2.7-9.fc19.x86_64
DEBUG util.py:258:  xz-libs-5.1.2-2alpha.fc18.x86_64
DEBUG util.py:258:  libacl-2.2.51-8.fc19.x86_64
DEBUG util.py:258:  libdb-5.3.21-3.fc18.x86_64
DEBUG util.py:258:  libgpg-error-1.10-3.fc18.x86_64
DEBUG util.py:258:  libgcrypt-1.5.0-6.fc18.x86_64
DEBUG util.py:258:  popt-1.13-12.fc18.x86_64
DEBUG util.py:258:  audit-libs-2.2.1-2.fc18.x86_64
DEBUG util.py:258:  mpfr-3.1.1-1.fc18.x86_64
DEBUG util.py:258:  libuuid-2.22-1.fc19.x86_64
DEBUG util.py:258:  sqlite-3.7.14-1.fc19.x86_64
DEBUG util.py:258:  file-libs-5.11-5.fc19.x86_64
DEBUG util.py:258:  dbus-libs-1.6.0-2.fc18.x86_64
DEBUG util.py:258:  grep-2.14-2.fc19.x86_64
DEBUG util.py:258:  gdbm-1.10-3.fc18.x86_64
DEBUG util.py:258:  file-5.11-5.fc19.x86_64
DEBUG util.py:258:  nss-softokn-3.13.5-3.fc18.x86_64
DEBUG util.py:258:  groff-base-1.21-10.fc18.x86_64
DEBUG util.py:258:  perl-HTTP-Tiny-0.017-239.fc19.noarch
DEBUG util.py:258:  perl-Pod-Escapes-1.04-239.fc19.noarch
DEBUG util.py:258:  perl-threads-1.86-240.fc19.x86_64
DEBUG util.py:258:  perl-Filter-1.45-4.fc18.x86_64
DEBUG util.py:258:  perl-Module-Pluggable-4.00-239.fc19.noarch
DEBUG util.py:258:  perl-Socket-2.006-1.fc19.x86_64
DEBUG util.py:258:  perl-Scalar-List-Utils-1.25-240.fc19.x86_64
DEBUG util.py:258:  perl-Pod-Parser-1.51-239.fc19.noarch
DEBUG util.py:258:  perl-5.16.1-239.fc19.x86_64
DEBUG util.py:258:  elfutils-libs-0.155-1.fc19.x86_64
DEBUG util.py:258:  dwz-0.7-1.fc19.x86_64
DEBUG util.py:258:  cyrus-sasl-lib-2.1.23-36.fc19.x86_64
DEBUG util.py:258:  unzip-6.0-6.fc18.x86_64
DEBUG util.py:258:  libxml2-2.9.0-1.fc19.x86_64
DEBUG util.py:258:  pkgconfig-0.27-1.fc18.x86_64
DEBUG util.py:258:  shared-mime-info-1.0-5.fc18.x86_64
DEBUG util.py:258:  xz-5.1.2-2alpha.fc18.x86_64
DEBUG util.py:258:  findutils-4.5.10-7.fc19.x86_64
DEBUG util.py:258:  libgomp-4.7.2-3.fc19.x86_64
DEBUG util.py:258:  patch-2.6.1-13.fc18.x86_64
DEBUG util.py:258:  ppl-pwl-0.11.2-10.fc18.x86_64
DEBUG util.py:258:  cloog-ppl-0.15.11-4.fc18.1.x86_64
DEBUG util.py:258:  glibc-devel-2.16.90-22.fc19.x86_64
DEBUG util.py:258:  gzip-1.5-2.fc18.x86_64
DEBUG util.py:258:  cracklib-dicts-2.8.19-2.fc18.x86_64
DEBUG util.py:258:  coreutils-8.17-5.fc18.x86_64
DEBUG util.py:258:  libblkid-2.22-1.fc19.x86_64
DEBUG util.py:258:  gcc-4.7.2-3.fc19.x86_64
DEBUG util.py:258:  nss-3.13.5-8.fc19.x86_64
DEBUG util.py:258:  nss-tools-3.13.5-8.fc19.x86_64
DEBUG util.py:258:  libdb4-4.8.30-5.fc18.x86_64
DEBUG util.py:258:  krb5-libs-1.10.3-6.fc19.x86_64
DEBUG util.py:258:  python-libs-2.7.3-13.fc18.x86_64
DEBUG util.py:258:  gdb-7.5.0.20120926-24.fc18.x86_64
DEBUG util.py:258:  libcurl-7.27.0-3.fc19.x86_64
DEBUG util.py:258:  rpm-libs-4.10.1-1.fc19.x86_64
DEBUG util.py:258:  fipscheck-lib-1.3.1-2.fc18.x86_64
DEBUG util.py:258:  libcap-ng-0.7-1.fc18.x86_64
DEBUG util.py:258:  libsemanage-2.1.9-1.fc19.x86_64
DEBUG util.py:258:  libutempter-1.1.5-7.fc18.x86_64
DEBUG util.py:258:  libtasn1-2.13-2.fc18.x86_64
DEBUG util.py:258:  p11-kit-0.14-1.fc18.x86_64
DEBUG util.py:258:  libmicrohttpd-0.9.22-1.fc19.x86_64
DEBUG util.py:258:  gnupg2-2.0.19-4.fc18.x86_64
DEBUG util.py:258:  qrencode-libs-3.3.1-4.fc19.x86_64
DEBUG util.py:258:  device-mapper-libs-1.02.76-1.fc18.x86_64
DEBUG util.py:258:  systemd-libs-194-1.fc18.x86_64
DEBUG util.py:258:  systemd-194-1.fc18.x86_64
DEBUG util.py:258:  dbus-1.6.0-2.fc18.x86_64
DEBUG util.py:258:  redhat-rpm-config-9.1.0-35.fc19.noarch
DEBUG util.py:258:  tar-1.26-11.fc19.x86_64
DEBUG util.py:258:  make-3.82-13.fc19.x86_64
DEBUG util.py:258:  libgcc-4.7.2-3.fc19.x86_64
DEBUG util.py:258:  filesystem-3.1-2.fc18.x86_64
DEBUG util.py:258:  fedora-release-rawhide-19-0.1.noarch
DEBUG util.py:258:  kernel-headers-3.7.0-0.rc0.git2.4.fc19.x86_64
DEBUG util.py:258:  ncurses-base-5.9-5.20120204.fc18.x86_64
DEBUG util.py:258:  ca-certificates-2012.85-2.fc18.noarch
DEBUG util.py:258:  nss-softokn-freebl-3.13.5-3.fc18.x86_64
DEBUG util.py:258:  glibc-2.16.90-22.fc19.x86_64
DEBUG util.py:258:  bash-4.2.37-7.fc19.x86_64
DEBUG util.py:258:  libsepol-2.1.8-2.fc19.x86_64
DEBUG util.py:258:  libcap-2.22-3.fc18.x86_64
DEBUG util.py:258:  libselinux-2.1.12-1.fc19.x86_64
DEBUG util.py:258:  info-4.13a-18.fc19.x86_64
DEBUG util.py:258:  bzip2-libs-1.0.6-5.fc18.x86_64
DEBUG util.py:258:  gmp-5.0.5-3.fc18.x86_64
DEBUG util.py:258:  nspr-4.9.3-0.1.fc19.beta1.1.x86_64
DEBUG util.py:258:  elfutils-libelf-0.155-1.fc19.x86_64
DEBUG util.py:258:  nss-util-3.13.5-4.fc18.x86_64
DEBUG util.py:258:  readline-6.2-5.fc18.x86_64
DEBUG util.py:258:  lua-5.1.4-11.fc18.x86_64
DEBUG util.py:258:  sed-4.2.1-10.fc18.x86_64
DEBUG util.py:258:  libmpc-0.9-3.fc18.2.x86_64
DEBUG util.py:258:  chkconfig-1.3.59-2.fc18.x86_64
DEBUG util.py:258:  expat-2.1.0-4.fc18.x86_64
DEBUG util.py:258:  libcom_err-1.42.6-2.fc19.x86_64
DEBUG util.py:258:  gawk-4.0.1-2.fc18.x86_64
DEBUG util.py:258:  libffi-3.0.10-3.fc19.x86_64
DEBUG util.py:258:  pinentry-0.8.1-7.fc18.x86_64
DEBUG util.py:258:  cpp-4.7.2-3.fc19.x86_64
DEBUG util.py:258:  perl-parent-0.225-242.fc19.noarch
DEBUG util.py:258:  perl-podlators-2.4.0-239.fc19.noarch
DEBUG util.py:258:  perl-Pod-Perldoc-3.17.00-241.fc19.noarch
DEBUG util.py:258:  perl-macros-5.16.1-239.fc19.x86_64
DEBUG util.py:258:  perl-Pod-Simple-3.20-239.fc19.noarch
DEBUG util.py:258:  perl-PathTools-3.39.2-239.fc19.x86_64
DEBUG util.py:258:  perl-threads-shared-1.42-1.fc19.x86_64
DEBUG util.py:258:  perl-Carp-1.26-240.fc19.noarch
DEBUG util.py:258:  perl-libs-5.16.1-239.fc19.x86_64
DEBUG util.py:258:  nss-myhostname-0.3-3.fc18.x86_64
DEBUG util.py:258:  elfutils-0.155-1.fc19.x86_64
DEBUG util.py:258:  libassuan-2.0.3-3.fc18.x86_64
DEBUG util.py:258:  libdb-utils-5.3.21-3.fc18.x86_64
DEBUG util.py:258:  bzip2-1.0.6-5.fc18.x86_64
DEBUG util.py:258:  gamin-0.1.10-13.fc18.x86_64
DEBUG util.py:258:  glib2-2.34.0-1.fc19.x86_64
DEBUG util.py:258:  kmod-libs-10-1.fc19.x86_64
DEBUG util.py:258:  cpio-2.11-11.fc19.x86_64
DEBUG util.py:258:  diffutils-3.2-10.fc19.x86_64
DEBUG util.py:258:  libidn-1.25-3.fc18.x86_64
DEBUG util.py:258:  libstdc++-devel-4.7.2-3.fc19.x86_64
DEBUG util.py:258:  ppl-0.11.2-10.fc18.x86_64
DEBUG util.py:258:  glibc-headers-2.16.90-22.fc19.x86_64
DEBUG util.py:258:  ncurses-5.9-5.20120204.fc18.x86_64
DEBUG util.py:258:  cracklib-2.8.19-2.fc18.x86_64
DEBUG util.py:258:  libpwquality-1.2.0-1.fc19.x86_64
DEBUG util.py:258:  pam-1.1.6-2.fc19.x86_64
DEBUG util.py:258:  binutils-2.23.51.0.3-1.fc19.x86_64
DEBUG util.py:258:  libmount-2.22-1.fc19.x86_64
DEBUG util.py:258:  nss-sysinit-3.13.5-8.fc19.x86_64
DEBUG util.py:258:  openldap-2.4.32-3.fc19.x86_64
DEBUG util.py:258:  keyutils-libs-1.5.5-3.fc18.x86_64
DEBUG util.py:258:  openssl-libs-1.0.1c-7.fc19.x86_64
DEBUG util.py:258:  python-2.7.3-13.fc18.x86_64
DEBUG util.py:258:  libssh2-1.4.2-3.fc19.x86_64
DEBUG util.py:258:  curl-7.27.0-3.fc19.x86_64
DEBUG util.py:258:  rpm-4.10.1-1.fc19.x86_64
DEBUG util.py:258:  fipscheck-1.3.1-2.fc18.x86_64
DEBUG util.py:258:  ustr-1.0.4-13.fc18.x86_64
DEBUG util.py:258:  shadow-utils-4.1.5.1-1.fc19.x86_64
DEBUG util.py:258:  tcp_wrappers-libs-7.6-70.fc18.x86_64
DEBUG util.py:258:  zip-3.0-5.fc18.x86_64
DEBUG util.py:258:  gnutls-2.12.20-3.fc19.x86_64
DEBUG util.py:258:  pth-2.0.7-17.fc18.x86_64
DEBUG util.py:258:  rpm-build-libs-4.10.1-1.fc19.x86_64
DEBUG util.py:258:  device-mapper-1.02.76-1.fc18.x86_64
DEBUG util.py:258:  cryptsetup-libs-1.5.0-2.fc18.x86_64
DEBUG util.py:258:  systemd-sysv-194-1.fc18.x86_64
DEBUG util.py:258:  util-linux-2.22-1.fc19.x86_64
DEBUG util.py:258:  rpm-build-4.10.1-1.fc19.x86_64
DEBUG util.py:258:  gcc-c++-4.7.2-3.fc19.x86_64
DEBUG util.py:258:  which-2.20-4.fc18.x86_64
DEBUG util.py:348:  Child return code was: 0
DEBUG util.py:84:  remove tree: /var/lib/mock/fedora-rawhide-x86_64/root/dev
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/dev/pts
DEBUG util.py:61:  creating dir: /var/lib/mock/fedora-rawhide-x86_64/root/dev/pts
DEBUG util.py:58:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64/root/dev/shm
DEBUG util.py:61:  creating dir: /var/lib/mock/fedora-rawhide-x86_64/root/dev/shm
DEBUG backend.py:442:  kver == 3.5.4-2.fc17.x86_64
